Institution Name,City,State,Postal Code,Website,Average SAT for males,Average SAT for females,Average GPA for males,Average GPA for females,In state tuition,Out state tuition,Average ACT males,Average ACT females,Average number of AP Classes as male,Average number of AP Classes as female,Average number of Extracurriculars
Kyushu University of Nursing and SocialWelfare,Stockton,California,95298,https://vinaora.com/lectus/in/quam/fringilla/rhoncus.js?justo=vivamus&nec=metus&condimentum=arcu&neque=adipiscing&sapien=molestie&placerat=hendrerit&ante=at&nulla=vulputate&justo=vitae&aliquam=nisl&quis=aenean&turpis=lectus&eget=pellentesque&elit=eget&sodales=nunc&scelerisque=donec&mauris=quis&sit=orci&amet=eget&eros=orci&suspendisse=vehicula&accumsan=condimentum&tortor=curabitur&quis=in&turpis=libero&sed=ut&ante=massa&vivamus=volutpat&tortor=convallis&duis=morbi&mattis=odio&egestas=odio&metus=elementum&aenean=eu&fermentum=interdum&donec=eu&ut=tincidunt&mauris=in&eget=leo&massa=maecenas&tempor=pulvinar&convallis=lobortis&nulla=est&neque=phasellus&libero=sit&convallis=amet&eget=erat&eleifend=nulla&luctus=tempus&ultricies=vivamus&eu=in&nibh=felis&quisque=eu&id=sapien&justo=cursus&sit=vestibulum&amet=proin&sapien=eu&dignissim=mi&vestibulum=nulla&vestibulum=ac&ante=enim&ipsum=in&primis=tempor&in=turpis&faucibus=nec&orci=euismod&luctus=scelerisque&et=quam&ultrices=turpis&posuere=adipiscing&cubilia=lorem&curae=vitae&nulla=mattis&dapibus=nibh&dolor=ligula&vel=nec&est=sem&donec=duis&odio=aliquam&justo=convallis&sollicitudin=nunc&ut=proin&suscipit=at&a=turpis&feugiat=a&et=pede&eros=posuere&vestibulum=nonummy&ac=integer&est=non&lacinia=velit&nisi=donec&venenatis=diam&tristique=neque&fusce=vestibulum&congue=eget&diam=vulputate,665,1332,3.77,1.94,20209,50354,13,13,4,9,2
Universidad Pedagógica Experimental Libertador,Washington,District of Columbia,20430,https://independent.co.uk/habitasse/platea.html?eros=vitae&vestibulum=mattis&ac=nibh&est=ligula&lacinia=nec&nisi=sem&venenatis=duis&tristique=aliquam&fusce=convallis&congue=nunc&diam=proin&id=at&ornare=turpis&imperdiet=a&sapien=pede&urna=posuere&pretium=nonummy&nisl=integer&ut=non&volutpat=velit&sapien=donec&arcu=diam&sed=neque&augue=vestibulum&aliquam=eget&erat=vulputate&volutpat=ut&in=ultrices&congue=vel&etiam=augue,1526,1105,2.16,0.91,30660,68719,19,31,15,12,8
Universität Ulm,Yonkers,New York,10705,http://ebay.co.uk/risus/auctor/sed/tristique/in/tempus/sit.html?posuere=eu&cubilia=orci&curae=mauris&donec=lacinia&pharetra=sapien&magna=quis&vestibulum=libero&aliquet=nullam&ultrices=sit&erat=amet&tortor=turpis&sollicitudin=elementum&mi=ligula&sit=vehicula&amet=consequat&lobortis=morbi&sapien=a&sapien=ipsum&non=integer&mi=a&integer=nibh&ac=in&neque=quis&duis=justo&bibendum=maecenas&morbi=rhoncus&non=aliquam&quam=lacus&nec=morbi&dui=quis&luctus=tortor&rutrum=id&nulla=nulla&tellus=ultrices&in=aliquet&sagittis=maecenas&dui=leo&vel=odio&nisl=condimentum&duis=id&ac=luctus&nibh=nec&fusce=molestie&lacus=sed&purus=justo&aliquet=pellentesque&at=viverra&feugiat=pede&non=ac&pretium=diam&quis=cras&lectus=pellentesque&suspendisse=volutpat&potenti=dui&in=maecenas&eleifend=tristique&quam=est&a=et&odio=tempus&in=semper&hac=est&habitasse=quam&platea=pharetra&dictumst=magna&maecenas=ac&ut=consequat&massa=metus&quis=sapien&augue=ut&luctus=nunc&tincidunt=vestibulum&nulla=ante&mollis=ipsum&molestie=primis&lorem=in&quisque=faucibus&ut=orci&erat=luctus&curabitur=et&gravida=ultrices&nisi=posuere&at=cubilia,914,1155,3.9,2.35,21702,33514,11,21,4,5,14
Universitas Negeri Padang,Rochester,New York,14619,http://tiny.cc/venenatis/non/sodales/sed/tincidunt.png?dictumst=nunc&morbi=vestibulum&vestibulum=ante&velit=ipsum&id=primis&pretium=in&iaculis=faucibus&diam=orci&erat=luctus&fermentum=et&justo=ultrices&nec=posuere,1590,977,1.15,0.88,20929,74684,14,34,8,0,4
The Interdisciplinary Center Herzliya,Redwood City,California,94064,https://google.fr/maecenas/rhoncus/aliquam/lacus/morbi/quis/tortor.jsp?tellus=in&in=hac&sagittis=habitasse&dui=platea&vel=dictumst&nisl=etiam&duis=faucibus&ac=cursus&nibh=urna&fusce=ut&lacus=tellus,1301,1439,3.4,0.74,39686,43163,11,33,12,1,8
Ivanovo State Academy of Medicine,Las Vegas,Nevada,89140,https://vk.com/a/pede/posuere/nonummy/integer/non.html?ultrices=urna&phasellus=pretium&id=nisl&sapien=ut&in=volutpat,1041,1566,0.64,1.64,35483,76152,32,15,16,8,1
Kentucky Wesleyan College,Springfield,Massachusetts,01129,https://microsoft.com/tempus/semper.js?augue=tincidunt&quam=nulla&sollicitudin=mollis&vitae=molestie&consectetuer=lorem&eget=quisque&rutrum=ut&at=erat&lorem=curabitur&integer=gravida&tincidunt=nisi&ante=at&vel=nibh&ipsum=in&praesent=hac&blandit=habitasse&lacinia=platea&erat=dictumst&vestibulum=aliquam&sed=augue&magna=quam&at=sollicitudin&nunc=vitae&commodo=consectetuer&placerat=eget&praesent=rutrum&blandit=at&nam=lorem&nulla=integer&integer=tincidunt&pede=ante&justo=vel&lacinia=ipsum&eget=praesent&tincidunt=blandit&eget=lacinia&tempus=erat&vel=vestibulum&pede=sed&morbi=magna&porttitor=at&lorem=nunc&id=commodo&ligula=placerat&suspendisse=praesent&ornare=blandit&consequat=nam&lectus=nulla&in=integer&est=pede&risus=justo&auctor=lacinia&sed=eget&tristique=tincidunt&in=eget&tempus=tempus&sit=vel&amet=pede&sem=morbi&fusce=porttitor&consequat=lorem&nulla=id&nisl=ligula&nunc=suspendisse&nisl=ornare&duis=consequat&bibendum=lectus&felis=in&sed=est&interdum=risus&venenatis=auctor&turpis=sed&enim=tristique&blandit=in&mi=tempus&in=sit&porttitor=amet&pede=sem&justo=fusce&eu=consequat&massa=nulla&donec=nisl&dapibus=nunc&duis=nisl&at=duis&velit=bibendum&eu=felis&est=sed&congue=interdum&elementum=venenatis&in=turpis&hac=enim&habitasse=blandit&platea=mi&dictumst=in&morbi=porttitor&vestibulum=pede&velit=justo&id=eu&pretium=massa,1300,792,1.46,1.83,15838,41783,31,16,11,12,12
Kyoto Women's University,Murfreesboro,Tennessee,37131,https://elegantthemes.com/nec/condimentum/neque/sapien.aspx?purus=lacinia&aliquet=aenean&at=sit&feugiat=amet&non=justo&pretium=morbi&quis=ut&lectus=odio&suspendisse=cras&potenti=mi&in=pede&eleifend=malesuada&quam=in&a=imperdiet&odio=et&in=commodo&hac=vulputate&habitasse=justo&platea=in&dictumst=blandit&maecenas=ultrices,1548,1551,3.13,3.72,34412,25336,20,11,2,3,9
Hastings College,Chicago,Illinois,60609,http://pen.io/quis/turpis/sed/ante/vivamus.js?augue=rhoncus&vestibulum=mauris&rutrum=enim&rutrum=leo&neque=rhoncus&aenean=sed&auctor=vestibulum&gravida=sit&sem=amet&praesent=cursus&id=id&massa=turpis&id=integer&nisl=aliquet&venenatis=massa&lacinia=id&aenean=lobortis&sit=convallis&amet=tortor&justo=risus&morbi=dapibus&ut=augue&odio=vel&cras=accumsan&mi=tellus&pede=nisi&malesuada=eu&in=orci&imperdiet=mauris&et=lacinia&commodo=sapien&vulputate=quis&justo=libero&in=nullam&blandit=sit&ultrices=amet&enim=turpis&lorem=elementum&ipsum=ligula&dolor=vehicula&sit=consequat&amet=morbi&consectetuer=a&adipiscing=ipsum&elit=integer&proin=a&interdum=nibh&mauris=in&non=quis&ligula=justo&pellentesque=maecenas&ultrices=rhoncus&phasellus=aliquam&id=lacus&sapien=morbi&in=quis&sapien=tortor&iaculis=id&congue=nulla&vivamus=ultrices&metus=aliquet&arcu=maecenas&adipiscing=leo&molestie=odio&hendrerit=condimentum&at=id&vulputate=luctus&vitae=nec&nisl=molestie&aenean=sed&lectus=justo&pellentesque=pellentesque&eget=viverra&nunc=pede&donec=ac&quis=diam&orci=cras&eget=pellentesque&orci=volutpat&vehicula=dui&condimentum=maecenas&curabitur=tristique&in=est&libero=et&ut=tempus,692,1184,3.44,2.05,22514,26654,28,21,20,8,8
Universidad Nacional de Misiones,Fargo,North Dakota,58106,https://rediff.com/est/et/tempus/semper/est/quam/pharetra.jpg?adipiscing=ut&molestie=blandit&hendrerit=non&at=interdum&vulputate=in&vitae=ante&nisl=vestibulum&aenean=ante&lectus=ipsum&pellentesque=primis&eget=in&nunc=faucibus&donec=orci&quis=luctus&orci=et&eget=ultrices&orci=posuere&vehicula=cubilia&condimentum=curae&curabitur=duis&in=faucibus&libero=accumsan&ut=odio&massa=curabitur&volutpat=convallis&convallis=duis&morbi=consequat&odio=dui&odio=nec&elementum=nisi&eu=volutpat&interdum=eleifend&eu=donec&tincidunt=ut&in=dolor&leo=morbi&maecenas=vel&pulvinar=lectus&lobortis=in&est=quam&phasellus=fringilla&sit=rhoncus&amet=mauris&erat=enim&nulla=leo&tempus=rhoncus&vivamus=sed&in=vestibulum&felis=sit&eu=amet&sapien=cursus&cursus=id&vestibulum=turpis&proin=integer&eu=aliquet&mi=massa&nulla=id&ac=lobortis&enim=convallis&in=tortor,1093,939,1.04,1.86,37868,25744,33,32,11,6,4
Université Montesquieu (Bordeaux IV),Richmond,Virginia,23228,https://feedburner.com/accumsan/tellus/nisi/eu/orci/mauris.png?phasellus=donec&in=quis&felis=orci&donec=eget&semper=orci&sapien=vehicula&a=condimentum&libero=curabitur&nam=in&dui=libero&proin=ut&leo=massa&odio=volutpat&porttitor=convallis&id=morbi&consequat=odio&in=odio&consequat=elementum&ut=eu&nulla=interdum&sed=eu&accumsan=tincidunt&felis=in&ut=leo&at=maecenas&dolor=pulvinar&quis=lobortis&odio=est&consequat=phasellus&varius=sit&integer=amet&ac=erat&leo=nulla&pellentesque=tempus&ultrices=vivamus&mattis=in&odio=felis&donec=eu&vitae=sapien&nisi=cursus&nam=vestibulum&ultrices=proin&libero=eu&non=mi&mattis=nulla&pulvinar=ac&nulla=enim&pede=in&ullamcorper=tempor&augue=turpis&a=nec&suscipit=euismod&nulla=scelerisque&elit=quam&ac=turpis&nulla=adipiscing&sed=lorem,846,797,2.1,2.8,31907,52284,26,33,7,2,6
Canadian College of Business & Computers,New York City,New York,10079,http://umn.edu/ornare/consequat/lectus/in/est/risus.html?consequat=interdum&ut=in&nulla=ante&sed=vestibulum&accumsan=ante&felis=ipsum&ut=primis&at=in&dolor=faucibus&quis=orci&odio=luctus&consequat=et&varius=ultrices&integer=posuere&ac=cubilia&leo=curae&pellentesque=duis&ultrices=faucibus&mattis=accumsan&odio=odio&donec=curabitur&vitae=convallis&nisi=duis&nam=consequat&ultrices=dui&libero=nec&non=nisi&mattis=volutpat&pulvinar=eleifend&nulla=donec&pede=ut&ullamcorper=dolor&augue=morbi&a=vel&suscipit=lectus&nulla=in&elit=quam&ac=fringilla&nulla=rhoncus&sed=mauris&vel=enim&enim=leo&sit=rhoncus&amet=sed&nunc=vestibulum&viverra=sit&dapibus=amet&nulla=cursus&suscipit=id&ligula=turpis&in=integer&lacus=aliquet&curabitur=massa&at=id&ipsum=lobortis&ac=convallis&tellus=tortor&semper=risus,866,1409,3.6,2.64,44569,45295,23,35,9,4,7
Technical University of Gabrovo,Jamaica,New York,11436,https://google.it/diam/erat/fermentum/justo/nec.html?suspendisse=mus&potenti=vivamus&nullam=vestibulum&porttitor=sagittis&lacus=sapien&at=cum&turpis=sociis&donec=natoque&posuere=penatibus&metus=et&vitae=magnis&ipsum=dis&aliquam=parturient&non=montes&mauris=nascetur&morbi=ridiculus&non=mus&lectus=etiam&aliquam=vel&sit=augue&amet=vestibulum&diam=rutrum&in=rutrum&magna=neque&bibendum=aenean&imperdiet=auctor&nullam=gravida&orci=sem&pede=praesent&venenatis=id&non=massa&sodales=id&sed=nisl&tincidunt=venenatis&eu=lacinia&felis=aenean&fusce=sit&posuere=amet&felis=justo&sed=morbi&lacus=ut,650,1541,1.01,3.93,15561,36331,35,15,3,15,5
"Johnson & Wales University, Charleston",Boston,Massachusetts,02298,https://jiathis.com/in.jpg?fusce=et&consequat=commodo&nulla=vulputate&nisl=justo&nunc=in&nisl=blandit&duis=ultrices&bibendum=enim&felis=lorem&sed=ipsum&interdum=dolor&venenatis=sit&turpis=amet&enim=consectetuer&blandit=adipiscing&mi=elit&in=proin&porttitor=interdum&pede=mauris&justo=non&eu=ligula&massa=pellentesque&donec=ultrices&dapibus=phasellus&duis=id&at=sapien&velit=in&eu=sapien&est=iaculis&congue=congue&elementum=vivamus&in=metus&hac=arcu&habitasse=adipiscing&platea=molestie&dictumst=hendrerit&morbi=at&vestibulum=vulputate&velit=vitae&id=nisl&pretium=aenean&iaculis=lectus&diam=pellentesque&erat=eget&fermentum=nunc&justo=donec&nec=quis&condimentum=orci&neque=eget&sapien=orci&placerat=vehicula&ante=condimentum&nulla=curabitur&justo=in&aliquam=libero&quis=ut&turpis=massa&eget=volutpat&elit=convallis&sodales=morbi&scelerisque=odio&mauris=odio&sit=elementum&amet=eu&eros=interdum&suspendisse=eu&accumsan=tincidunt&tortor=in&quis=leo&turpis=maecenas&sed=pulvinar&ante=lobortis&vivamus=est&tortor=phasellus&duis=sit&mattis=amet,1593,1314,1.14,0.99,27014,34657,36,22,18,1,7
College of Charleston,New York City,New York,10175,https://nationalgeographic.com/justo/etiam.jsp?vestibulum=amet&proin=sapien&eu=dignissim&mi=vestibulum&nulla=vestibulum&ac=ante&enim=ipsum&in=primis&tempor=in&turpis=faucibus,1105,925,3.79,3.67,18504,70235,17,34,2,17,10
"University of New Brunswick, Saint John",Los Angeles,California,90189,https://mapy.cz/in/tempor/turpis/nec/euismod/scelerisque/quam.jsp?ipsum=luctus&primis=et&in=ultrices&faucibus=posuere&orci=cubilia&luctus=curae&et=mauris&ultrices=viverra&posuere=diam&cubilia=vitae&curae=quam&nulla=suspendisse&dapibus=potenti&dolor=nullam&vel=porttitor&est=lacus&donec=at&odio=turpis&justo=donec&sollicitudin=posuere&ut=metus&suscipit=vitae&a=ipsum&feugiat=aliquam&et=non&eros=mauris&vestibulum=morbi&ac=non&est=lectus&lacinia=aliquam&nisi=sit&venenatis=amet&tristique=diam&fusce=in&congue=magna&diam=bibendum&id=imperdiet&ornare=nullam&imperdiet=orci&sapien=pede&urna=venenatis&pretium=non&nisl=sodales&ut=sed&volutpat=tincidunt&sapien=eu&arcu=felis&sed=fusce&augue=posuere&aliquam=felis&erat=sed&volutpat=lacus&in=morbi&congue=sem&etiam=mauris&justo=laoreet&etiam=ut&pretium=rhoncus&iaculis=aliquet&justo=pulvinar&in=sed&hac=nisl&habitasse=nunc&platea=rhoncus&dictumst=dui&etiam=vel&faucibus=sem&cursus=sed&urna=sagittis&ut=nam&tellus=congue,645,715,1.45,2.73,41597,37152,29,28,12,3,13
"Fachhochschule Stuttgart, Hochschule der Medien",Birmingham,Alabama,35210,https://twitter.com/odio/justo/sollicitudin/ut/suscipit.aspx?aenean=nisi&sit=at&amet=nibh&justo=in&morbi=hac&ut=habitasse&odio=platea&cras=dictumst&mi=aliquam&pede=augue&malesuada=quam&in=sollicitudin&imperdiet=vitae&et=consectetuer&commodo=eget&vulputate=rutrum&justo=at&in=lorem&blandit=integer&ultrices=tincidunt&enim=ante&lorem=vel&ipsum=ipsum&dolor=praesent&sit=blandit&amet=lacinia&consectetuer=erat&adipiscing=vestibulum&elit=sed&proin=magna&interdum=at&mauris=nunc&non=commodo&ligula=placerat&pellentesque=praesent&ultrices=blandit&phasellus=nam&id=nulla&sapien=integer&in=pede&sapien=justo&iaculis=lacinia&congue=eget&vivamus=tincidunt&metus=eget&arcu=tempus&adipiscing=vel&molestie=pede&hendrerit=morbi&at=porttitor&vulputate=lorem&vitae=id&nisl=ligula&aenean=suspendisse&lectus=ornare&pellentesque=consequat&eget=lectus&nunc=in&donec=est&quis=risus&orci=auctor&eget=sed&orci=tristique&vehicula=in&condimentum=tempus&curabitur=sit&in=amet&libero=sem&ut=fusce&massa=consequat&volutpat=nulla&convallis=nisl&morbi=nunc&odio=nisl&odio=duis&elementum=bibendum&eu=felis&interdum=sed&eu=interdum&tincidunt=venenatis&in=turpis&leo=enim&maecenas=blandit,601,739,0.76,3.83,35671,48964,19,34,16,8,1
Western Mindanao State University,Boca Raton,Florida,33499,https://edublogs.org/arcu/adipiscing.jpg?rhoncus=congue&aliquet=elementum&pulvinar=in&sed=hac&nisl=habitasse&nunc=platea&rhoncus=dictumst&dui=morbi&vel=vestibulum&sem=velit&sed=id&sagittis=pretium&nam=iaculis&congue=diam&risus=erat&semper=fermentum&porta=justo,1415,1027,0.63,2.47,24010,69660,15,12,20,4,13
Laurus Technical Institute,Boise,Idaho,83711,https://joomla.org/ut/nunc/vestibulum/ante/ipsum/primis/in.html?malesuada=mauris&in=vulputate&imperdiet=elementum&et=nullam&commodo=varius&vulputate=nulla&justo=facilisi&in=cras,1366,1160,2.54,3.71,27690,77882,17,24,9,5,5
Yanbu University College,Houston,Texas,77299,https://blogs.com/id/massa/id/nisl.js?ultrices=sed&posuere=accumsan&cubilia=felis&curae=ut&duis=at&faucibus=dolor&accumsan=quis&odio=odio&curabitur=consequat&convallis=varius&duis=integer&consequat=ac&dui=leo&nec=pellentesque&nisi=ultrices&volutpat=mattis&eleifend=odio&donec=donec&ut=vitae&dolor=nisi&morbi=nam&vel=ultrices&lectus=libero&in=non&quam=mattis&fringilla=pulvinar&rhoncus=nulla&mauris=pede&enim=ullamcorper&leo=augue&rhoncus=a&sed=suscipit&vestibulum=nulla&sit=elit&amet=ac&cursus=nulla&id=sed&turpis=vel&integer=enim&aliquet=sit&massa=amet&id=nunc&lobortis=viverra&convallis=dapibus&tortor=nulla&risus=suscipit&dapibus=ligula&augue=in&vel=lacus&accumsan=curabitur&tellus=at&nisi=ipsum&eu=ac&orci=tellus&mauris=semper&lacinia=interdum&sapien=mauris&quis=ullamcorper&libero=purus&nullam=sit&sit=amet&amet=nulla&turpis=quisque&elementum=arcu&ligula=libero&vehicula=rutrum&consequat=ac&morbi=lobortis&a=vel&ipsum=dapibus&integer=at&a=diam&nibh=nam,1326,1406,2.63,1.8,37857,62057,34,25,3,0,5
Tashkent University of Information Technologies,Chattanooga,Tennessee,37410,http://vinaora.com/amet/consectetuer/adipiscing/elit/proin/risus.html?erat=tortor&id=id&mauris=nulla&vulputate=ultrices&elementum=aliquet&nullam=maecenas&varius=leo&nulla=odio&facilisi=condimentum&cras=id&non=luctus&velit=nec&nec=molestie&nisi=sed&vulputate=justo&nonummy=pellentesque&maecenas=viverra&tincidunt=pede&lacus=ac&at=diam&velit=cras&vivamus=pellentesque&vel=volutpat&nulla=dui&eget=maecenas&eros=tristique&elementum=est&pellentesque=et&quisque=tempus&porta=semper&volutpat=est&erat=quam&quisque=pharetra&erat=magna&eros=ac&viverra=consequat&eget=metus&congue=sapien&eget=ut&semper=nunc&rutrum=vestibulum&nulla=ante&nunc=ipsum&purus=primis&phasellus=in&in=faucibus&felis=orci&donec=luctus&semper=et&sapien=ultrices&a=posuere&libero=cubilia&nam=curae&dui=mauris&proin=viverra&leo=diam&odio=vitae&porttitor=quam&id=suspendisse&consequat=potenti&in=nullam&consequat=porttitor&ut=lacus&nulla=at&sed=turpis&accumsan=donec&felis=posuere&ut=metus&at=vitae&dolor=ipsum&quis=aliquam&odio=non&consequat=mauris&varius=morbi&integer=non&ac=lectus&leo=aliquam&pellentesque=sit,609,956,1.77,3.76,20695,31055,36,20,3,14,5
University of Sarajevo,Houston,Texas,77060,https://nature.com/faucibus/orci/luctus/et.jpg?erat=mi&curabitur=in&gravida=porttitor&nisi=pede&at=justo&nibh=eu&in=massa&hac=donec&habitasse=dapibus&platea=duis&dictumst=at&aliquam=velit&augue=eu&quam=est&sollicitudin=congue&vitae=elementum&consectetuer=in&eget=hac&rutrum=habitasse&at=platea&lorem=dictumst,1075,810,1.23,3.34,32943,73554,11,29,16,1,13
Moore College of Art and Design,Brockton,Massachusetts,02405,https://infoseek.co.jp/duis.html?suspendisse=volutpat&potenti=eleifend&nullam=donec&porttitor=ut&lacus=dolor&at=morbi&turpis=vel&donec=lectus&posuere=in&metus=quam&vitae=fringilla&ipsum=rhoncus&aliquam=mauris&non=enim&mauris=leo&morbi=rhoncus&non=sed&lectus=vestibulum&aliquam=sit&sit=amet&amet=cursus&diam=id&in=turpis&magna=integer&bibendum=aliquet&imperdiet=massa&nullam=id&orci=lobortis&pede=convallis&venenatis=tortor&non=risus&sodales=dapibus&sed=augue&tincidunt=vel&eu=accumsan&felis=tellus&fusce=nisi&posuere=eu&felis=orci&sed=mauris&lacus=lacinia&morbi=sapien&sem=quis&mauris=libero&laoreet=nullam&ut=sit&rhoncus=amet&aliquet=turpis&pulvinar=elementum&sed=ligula&nisl=vehicula&nunc=consequat&rhoncus=morbi&dui=a&vel=ipsum&sem=integer&sed=a&sagittis=nibh&nam=in&congue=quis&risus=justo&semper=maecenas&porta=rhoncus&volutpat=aliquam&quam=lacus&pede=morbi&lobortis=quis,1449,1413,0.93,2.5,44333,28179,26,27,7,17,12
Takoradi Polytechnic ,Rochester,New York,14683,http://abc.net.au/justo/etiam.jsp?erat=nibh&id=ligula&mauris=nec&vulputate=sem&elementum=duis&nullam=aliquam&varius=convallis&nulla=nunc&facilisi=proin&cras=at&non=turpis&velit=a&nec=pede,1572,1501,2.87,1.49,22139,47076,11,32,16,19,13
Torbat Heydarieh University of Medical Sciences,New Castle,Pennsylvania,16107,https://last.fm/aliquam/convallis.jsp?platea=faucibus&dictumst=cursus&aliquam=urna&augue=ut&quam=tellus&sollicitudin=nulla&vitae=ut&consectetuer=erat&eget=id&rutrum=mauris&at=vulputate&lorem=elementum&integer=nullam&tincidunt=varius&ante=nulla&vel=facilisi&ipsum=cras&praesent=non&blandit=velit&lacinia=nec&erat=nisi&vestibulum=vulputate&sed=nonummy&magna=maecenas&at=tincidunt&nunc=lacus&commodo=at&placerat=velit&praesent=vivamus&blandit=vel&nam=nulla&nulla=eget&integer=eros&pede=elementum&justo=pellentesque&lacinia=quisque&eget=porta&tincidunt=volutpat&eget=erat&tempus=quisque&vel=erat&pede=eros&morbi=viverra&porttitor=eget&lorem=congue&id=eget&ligula=semper&suspendisse=rutrum&ornare=nulla&consequat=nunc&lectus=purus&in=phasellus&est=in&risus=felis&auctor=donec&sed=semper&tristique=sapien,835,1087,2.3,1.22,42110,30090,15,21,15,9,0
Instituto Superior Politécnico José Antonio Echeverría,Fairfax,Virginia,22036,https://upenn.edu/parturient/montes.jpg?ipsum=volutpat&primis=eleifend&in=donec&faucibus=ut&orci=dolor&luctus=morbi&et=vel&ultrices=lectus&posuere=in&cubilia=quam&curae=fringilla&nulla=rhoncus&dapibus=mauris&dolor=enim&vel=leo&est=rhoncus&donec=sed&odio=vestibulum&justo=sit&sollicitudin=amet&ut=cursus&suscipit=id&a=turpis&feugiat=integer&et=aliquet&eros=massa&vestibulum=id&ac=lobortis&est=convallis&lacinia=tortor&nisi=risus&venenatis=dapibus&tristique=augue&fusce=vel&congue=accumsan&diam=tellus&id=nisi&ornare=eu&imperdiet=orci&sapien=mauris&urna=lacinia&pretium=sapien&nisl=quis&ut=libero&volutpat=nullam&sapien=sit,1256,634,2.91,0.81,44923,71999,13,23,19,7,5
Heilongjiang August 1st Reclamation University,Silver Spring,Maryland,20904,http://twitpic.com/eget/massa/tempor/convallis/nulla/neque/libero.jsp?convallis=sed&nulla=lacus&neque=morbi&libero=sem&convallis=mauris&eget=laoreet&eleifend=ut&luctus=rhoncus&ultricies=aliquet&eu=pulvinar&nibh=sed&quisque=nisl&id=nunc&justo=rhoncus&sit=dui&amet=vel&sapien=sem&dignissim=sed&vestibulum=sagittis&vestibulum=nam&ante=congue&ipsum=risus&primis=semper&in=porta&faucibus=volutpat&orci=quam&luctus=pede&et=lobortis&ultrices=ligula&posuere=sit&cubilia=amet&curae=eleifend&nulla=pede&dapibus=libero&dolor=quis&vel=orci&est=nullam&donec=molestie&odio=nibh&justo=in&sollicitudin=lectus&ut=pellentesque&suscipit=at&a=nulla&feugiat=suspendisse&et=potenti&eros=cras&vestibulum=in&ac=purus&est=eu&lacinia=magna&nisi=vulputate&venenatis=luctus&tristique=cum&fusce=sociis&congue=natoque&diam=penatibus&id=et&ornare=magnis&imperdiet=dis&sapien=parturient&urna=montes&pretium=nascetur&nisl=ridiculus&ut=mus&volutpat=vivamus&sapien=vestibulum&arcu=sagittis&sed=sapien&augue=cum&aliquam=sociis&erat=natoque&volutpat=penatibus&in=et&congue=magnis&etiam=dis&justo=parturient&etiam=montes&pretium=nascetur&iaculis=ridiculus&justo=mus&in=etiam&hac=vel&habitasse=augue&platea=vestibulum&dictumst=rutrum&etiam=rutrum&faucibus=neque&cursus=aenean&urna=auctor&ut=gravida&tellus=sem&nulla=praesent,1587,948,2.22,3.47,11695,27010,13,12,12,6,0
